País de nacimiento;Grupo quinquenal de edad;Sexo;Periodo;Total
Bélgica;Todas las edades;Total;1 de abril de 2014;""
Bélgica;Todas las edades;Total;1 de enero de 2014;42.338
Bélgica;Todas las edades;Total;1 de octubre de 2013;""
Bélgica;Todas las edades;Total;1 de julio de 2013;42.289
Bélgica;Todas las edades;Total;1 de abril de 2013;""
Bélgica;Todas las edades;Total;1 de enero de 2013;42.464
Bélgica;Todas las edades;Total;1 de octubre de 2012;""
Bélgica;Todas las edades;Total;1 de julio de 2012;42.150
Bélgica;Todas las edades;Total;1 de abril de 2012;""
Bélgica;Todas las edades;Total;1 de enero de 2012;42.272
Bélgica;Todas las edades;Total;1 de octubre de 2011;""
Bélgica;Todas las edades;Total;1 de julio de 2011;41.929
Bélgica;Todas las edades;Total;1 de abril de 2011;""
Bélgica;Todas las edades;Total;1 de enero de 2011;41.902
Bélgica;Todas las edades;Total;1 de octubre de 2010;""
Bélgica;Todas las edades;Total;1 de julio de 2010;41.853
Bélgica;Todas las edades;Total;1 de abril de 2010;""
Bélgica;Todas las edades;Total;1 de enero de 2010;41.798
Bélgica;Todas las edades;Total;1 de octubre de 2009;""
Bélgica;Todas las edades;Total;1 de julio de 2009;41.698
Bélgica;Todas las edades;Total;1 de abril de 2009;""
Bélgica;Todas las edades;Total;1 de enero de 2009;41.791
Bélgica;Todas las edades;Total;1 de octubre de 2008;""
Bélgica;Todas las edades;Total;1 de julio de 2008;41.552
Bélgica;Todas las edades;Total;1 de abril de 2008;""
Bélgica;Todas las edades;Total;1 de enero de 2008;41.377
Bélgica;Todas las edades;Total;1 de octubre de 2007;""
Bélgica;Todas las edades;Total;1 de julio de 2007;40.544
Bélgica;Todas las edades;Total;1 de abril de 2007;""
Bélgica;Todas las edades;Total;1 de enero de 2007;39.873
Bélgica;Todas las edades;Total;1 de octubre de 2006;""
Bélgica;Todas las edades;Total;1 de julio de 2006;39.027
Bélgica;Todas las edades;Total;1 de abril de 2006;""
Bélgica;Todas las edades;Total;1 de enero de 2006;38.220
Bélgica;Todas las edades;Total;1 de octubre de 2005;""
Bélgica;Todas las edades;Total;1 de julio de 2005;37.152
Bélgica;Todas las edades;Total;1 de abril de 2005;""
Bélgica;Todas las edades;Total;1 de enero de 2005;36.196
Bélgica;Todas las edades;Total;1 de octubre de 2004;""
Bélgica;Todas las edades;Total;1 de julio de 2004;35.232
Bélgica;Todas las edades;Total;1 de abril de 2004;""
Bélgica;Todas las edades;Total;1 de enero de 2004;34.230
Bélgica;Todas las edades;Total;1 de octubre de 2003;""
Bélgica;Todas las edades;Total;1 de julio de 2003;33.034
Bélgica;Todas las edades;Total;1 de abril de 2003;""
